Gene	mRNA	GN
SoyZH13_U000127	SoyZH13_U000127.m1	PETA
SoyZH13_U000128	SoyZH13_U000128.m1	ACCD
SoyZH13_U000129	SoyZH13_U000129.m1	ATPA
SoyZH13_U000130	SoyZH13_U000130.m1	ATPA
SoyZH13_U000131	SoyZH13_U000131.m1	ACCD
SoyZH13_U000149	SoyZH13_U000149.m1	RPOC1
SoyZH13_U000152	SoyZH13_U000152.m1	RPL2
SoyZH13_U000153	SoyZH13_U000153.m1	PSBA
SoyZH13_U000154	SoyZH13_U000154.m1	PSBA
SoyZH13_U000155	SoyZH13_U000155.m1	RPL2
SoyZH13_U000158	SoyZH13_U000158.m1	RPL2
SoyZH13_U000159	SoyZH13_U000159.m1	PSBA
SoyZH13_U000160	SoyZH13_U000160.m1	RBCL
SoyZH13_U000162	SoyZH13_U000162.m1	ATPB
SoyZH13_U000165	SoyZH13_U000165.m1	PSBD
SoyZH13_U000169	SoyZH13_U000169.m1	RBCL
SoyZH13_U000170	SoyZH13_U000170.m1	ATPB
SoyZH13_U000176	SoyZH13_U000176.m1	ATPB
SoyZH13_U000177	SoyZH13_U000177.m1	RBCL
SoyZH13_U000178	SoyZH13_U000178.m1	PSBA
SoyZH13_U000179	SoyZH13_U000179.m1	RPL2
SoyZH13_U000183	SoyZH13_U000183.m1	RPL2
SoyZH13_U000184	SoyZH13_U000184.m1	RPL2
SoyZH13_U000187	SoyZH13_U000187.m1	RPL2
SoyZH13_U000188	SoyZH13_U000188.m1	PSBA
SoyZH13_U000190	SoyZH13_U000190.m1	RBCL
SoyZH13_U000191	SoyZH13_U000191.m1	ATPB
SoyZH13_U000211	SoyZH13_U000211.m1	RPS7
SoyZH13_U000215	SoyZH13_U000215.m1	PSBA
SoyZH13_U000217	SoyZH13_U000217.m1	ATPB
SoyZH13_U000219	SoyZH13_U000219.m1	NDHJ
SoyZH13_U000254	SoyZH13_U000254.m1	RBCL
SoyZH13_U000255	SoyZH13_U000255.m1	ATPB
SoyZH13_U000256	SoyZH13_U000256.m1	ATPB
SoyZH13_U000257	SoyZH13_U000257.m1	RBCL
SoyZH13_U000258	SoyZH13_U000258.m1	PSBA
SoyZH13_U000259	SoyZH13_U000259.m1	RPL2
SoyZH13_U000269	SoyZH13_U000269.m1	NRDF
SoyZH13_U000270	SoyZH13_U000270.m1	NRDE
SoyZH13_U000280	SoyZH13_U000280.m1	NINX
SoyZH13_U000283	SoyZH13_U000283.m1	REC
SoyZH13_U000290	SoyZH13_U000290.m1	NINX
SoyZH13_U000295	SoyZH13_U000295.m1	RPL2
SoyZH13_U000296	SoyZH13_U000296.m1	PSBA
SoyZH13_U000297	SoyZH13_U000297.m1	RBCL
SoyZH13_U000298	SoyZH13_U000298.m1	ATPB
SoyZH13_U000311	SoyZH13_U000311.m1	PSBC
SoyZH13_U000324	SoyZH13_U000324.m1	PSAB
SoyZH13_U000326	SoyZH13_U000326.m1	RPOB
SoyZH13_U000361	SoyZH13_U000361.m1	GAG-POL
SoyZH13_U000369	SoyZH13_U000369.m1	REVERSE
SoyZH13_U000383	SoyZH13_U000383.m1	POL
SoyZH13_U000386	SoyZH13_U000386.m1	POL
SoyZH13_U000387	SoyZH13_U000387.m1	POL
SoyZH13_U000440	SoyZH13_U000440.m1	25489770
SoyZH13_U000507	SoyZH13_U000507.m1	NAD9
SoyZH13_U000535	SoyZH13_U000535.m1	CCMFC
SoyZH13_U000539	SoyZH13_U000539.m1	COX1
SoyZH13_U000544	SoyZH13_U000544.m1	COX3
SoyZH13_U000554	SoyZH13_U000554.m1	DCM
SoyZH13_U000555	SoyZH13_U000555.m1	DCM
SoyZH13_U000566	SoyZH13_U000566.m1	NAD4L
SoyZH13_U000571	SoyZH13_U000571.m1	COX2
SoyZH13_U000583	SoyZH13_U000583.m1	COX2
SoyZH13_U000590	SoyZH13_U000590.m1	NAD4L
SoyZH13_U000601	SoyZH13_U000601.m1	COX2
SoyZH13_U000603	SoyZH13_U000603.m1	RPS1
SoyZH13_U000607	SoyZH13_U000607.m1	CCMFN
SoyZH13_19G179500	SoyZH13_19G179500.m1	Dt1
SoyZH13_02G163600	SoyZH13_02G163600.m1	GmSPL9a
SoyZH13_03G127200	SoyZH13_03G127200.m1	GmSPL9c
SoyZH13_09G103300	SoyZH13_09G103300.m1	GmSPL9b
SoyZH13_19G131900	SoyZH13_19G131900.m1	GmSPL9d
SoyZH13_03G240700	SoyZH13_03G240700.m1	GmLCLb1
SoyZH13_07G046900	SoyZH13_07G046900.m1	GmLCLa2
SoyZH13_16G015500	SoyZH13_16G015500.m1	GmLCLa1
SoyZH13_19G245000	SoyZH13_19G245000.m1	GmLCLb2
SoyZH13_19G149200	SoyZH13_19G149200.m1	GmMYB14
SoyZH13_06G195900	SoyZH13_06G195900.m1	E1
SoyZH13_19G210400	SoyZH13_19G210400.m1	E3
SoyZH13_20G079700	SoyZH13_20G079700.m1	E4
SoyZH13_16G134200	SoyZH13_16G134200.m1	GmFT2a
SoyZH13_04G047800	SoyZH13_04G047800.m1	J
SoyZH13_05G018300	SoyZH13_05G018300.m1	GmCYP78A10
SoyZH13_19G226000	SoyZH13_19G226000.m1	GmCYP78A72
SoyZH13_02G110800	SoyZH13_02G110800.m1	GmCYP78A57
SoyZH13_01G057700	SoyZH13_01G057700.m1	GmCYP78A70
SoyZH13_10G225700	SoyZH13_10G225700.m1	BIGSEEDS1
SoyZH13_17G108800	SoyZH13_17G108800.m1	GmKIX8-1
SoyZH13_05G089300	SoyZH13_05G089300.m1	SoyWRKY15a
SoyZH13_17G209800	SoyZH13_17G209800.m1	PP2C-1
SoyZH13_10G129000	SoyZH13_10G129000.m1	PHYA
SoyZH13_03G206800	SoyZH13_03G206800.m1	GmPHYA3
SoyZH13_12G067700	SoyZH13_12G067700.m1	Tof12
SoyZH13_02G065500	SoyZH13_02G065500.m1	GmFT2A
SoyZH13_05G229200	SoyZH13_05G229200.m1	GmMFT
SoyZH13_08G242800	SoyZH13_08G242800.m1	FTL9
SoyZH13_08G341400	SoyZH13_08G341400.m1	GmFT4
SoyZH13_08G341500	SoyZH13_08G341500.m1	FT6
SoyZH13_16G040400	SoyZH13_16G040400.m1	GmFT5a
SoyZH13_16G040500	SoyZH13_16G040500.m1	GmFT3A
SoyZH13_16G134600	SoyZH13_16G134600.m1	GmFT2b
SoyZH13_16G173400	SoyZH13_16G173400.m1	GmBFT
SoyZH13_18G266300	SoyZH13_18G266300.m1	GmFT1b
SoyZH13_19G095000	SoyZH13_19G095000.m1	GmFT3B
SoyZH13_19G095100	SoyZH13_19G095100.m1	GmFT5B
SoyZH13_16G083100	SoyZH13_16G083100.m1	GmAP1
SoyZH13_09G241600	SoyZH13_09G241600.m1	GmSOC1b
SoyZH13_18G197600	SoyZH13_18G197600.m1	GmSOC1a
SoyZH13_04G179400	SoyZH13_04G179400.m1	GmLFY1
SoyZH13_06G156800	SoyZH13_06G156800.m1	GmLFY2
SoyZH13_08G242000	SoyZH13_08G242000.m1	GmCOL1a
SoyZH13_10G253700	SoyZH13_10G253700.m1	GmCOL7a
SoyZH13_18G247000	SoyZH13_18G247000.m1	GmCOL1b
SoyZH13_02G265700	SoyZH13_02G265700.m1	GmAGL1
SoyZH13_14G024900	SoyZH13_14G024900.m1	GmAGL1
SoyZH13_20G103500	SoyZH13_20G103500.m1	Ln
SoyZH13_11G025402	SoyZH13_11G025402.m1	GmILPA1
SoyZH13_05G021300	SoyZH13_05G021300.m1	CTP
SoyZH13_04G095000	SoyZH13_04G095000.m1	GmCRY1a
SoyZH13_01G197200	SoyZH13_01G197200.m1	D1
SoyZH13_11G026500	SoyZH13_11G026500.m1	D2
SoyZH13_02G243200	SoyZH13_02G243200.m1	GmSGR
SoyZH13_13G089900	SoyZH13_13G089900.m1	GmPDAT
SoyZH13_07G076300	SoyZH13_07G076300.m1	GA20OX
SoyZH13_15G208100	SoyZH13_15G208100.m1	GmWRI1a
SoyZH13_18G227100	SoyZH13_18G227100.m1	GmWRI1A
SoyZH13_09G062000	SoyZH13_09G062000.m1	DGAT
SoyZH13_13G087700	SoyZH13_13G087700.m1	DGAT1A
SoyZH13_17G052100	SoyZH13_17G052100.m1	DGAT
SoyZH13_06G009200	SoyZH13_06G009200.m1	GmbZIP123
SoyZH13_06G263400	SoyZH13_06G263400.m1	GmZF351
SoyZH13_12G185100	SoyZH13_12G185100.m1	GmZF392
SoyZH13_06G209600	SoyZH13_06G209600.m1	GmWRI1B
SoyZH13_08G216100	SoyZH13_08G216100.m1	GmWRI1b
SoyZH13_18G254000	SoyZH13_18G254000.m1	CHR5
SoyZH13_01G138300	SoyZH13_01G138300.m1	GmCCD4
SoyZH13_11G024800	SoyZH13_11G024800.m1	HSFB2b
SoyZH13_08G292300	SoyZH13_08G292300.m1	GmMPK1
SoyZH13_04G176000	SoyZH13_04G176000.m1	GmSWEET15
SoyZH13_06G159700	SoyZH13_06G159700.m1	GmSWEET15
SoyZH13_05G112000	SoyZH13_05G112000.m1	GmSWEET10
SoyZH13_08G175300	SoyZH13_08G175300.m1	GmSWEET10b
SoyZH13_15G047800	SoyZH13_15G047800.m1	GmSWEET10a
SoyZH13_10G011500	SoyZH13_10G011500.m1	GmWRKY54
SoyZH13_16G135000	SoyZH13_16G135000.m1	GmNAC8
SoyZH13_02G032900	SoyZH13_02G032900.m1	GmPUB6
SoyZH13_01G221600	SoyZH13_01G221600.m1	PD1
SoyZH13_12G167500	SoyZH13_12G167500.m1	PS
SoyZH13_08G096300	SoyZH13_08G096300.m1	GmCDF1
SoyZH13_17G114500	SoyZH13_17G114500.m1	GmAKT1
SoyZH13_14G133800	SoyZH13_14G133800.m1	GmNAC109
SoyZH13_13G255500	SoyZH13_13G255500.m1	GmSIN1
SoyZH13_08G109700	SoyZH13_08G109700.m1	GmbZIP110
SoyZH13_13G019900	SoyZH13_13G019900.m1	GmNAC20
SoyZH13_19G095500	SoyZH13_19G095500.m1	GmNAC11
SoyZH13_09G065200	SoyZH13_09G065200.m1	GmPHD6
SoyZH13_17G140200	SoyZH13_17G140200.m1	GmERF135
SoyZH13_02G176100	SoyZH13_02G176100.m1	GmCDPK3
SoyZH13_20G099400	SoyZH13_20G099400.m1	GmRPA3c
SoyZH13_12G159100	SoyZH13_12G159100.m1	GmbHLH57
SoyZH13_03G116000	SoyZH13_03G116000.m1	GmbHLH300
SoyZH13_08G186200	SoyZH13_08G186200.m1	GmACP1
SoyZH13_10G171400	SoyZH13_10G171400.m1	GmPT1
SoyZH13_09G016900	SoyZH13_09G016900.m1	GmPHR25
SoyZH13_15G118600	SoyZH13_15G118600.m1	GmPHR25
SoyZH13_15G202100	SoyZH13_15G202100.m1	GmPHR25
SoyZH13_02G209700	SoyZH13_02G209700.m1	GmETO1
SoyZH13_18G020700	SoyZH13_18G020700.m1	Rhg1
SoyZH13_08G102700	SoyZH13_08G102700.m1	Rhg4
SoyZH13_01G037800	SoyZH13_01G037800.m1	GmCLE34
SoyZH13_13G294101	SoyZH13_13G294101.m1	GmAFS
SoyZH13_15G055700	SoyZH13_15G055700.m1	HSP40
SoyZH13_13G041300	SoyZH13_13G041300.m1	GmLMM1
SoyZH13_18G222100	SoyZH13_18G222100.m1	GmSubPep
SoyZH13_14G045400	SoyZH13_14G045400.m1	GmERF5
SoyZH13_02G005600	SoyZH13_02G005600.m1	GmMYB29A2
SoyZH13_13G170700	SoyZH13_13G170700.m1	GmST1
SoyZH13_06G246900	SoyZH13_06G246900.m1	GmKR3
SoyZH13_12G192500	SoyZH13_12G192500.m1	GmNDR1b
SoyZH13_13G262600	SoyZH13_13G262600.m1	GmNDR1a
SoyZH13_07G062400	SoyZH13_07G062400.m1	GmMPK4b
SoyZH13_09G232100	SoyZH13_09G232100.m1	GmMPK4c
SoyZH13_18G208900	SoyZH13_18G208900.m1	GmMPK4d
SoyZH13_07G191800	SoyZH13_07G191800.m1	GmMPK6
SoyZH13_19G162600	SoyZH13_19G162600.m1	GmABAS1
SoyZH13_03G242500	SoyZH13_03G242500.m1	GmERF3
SoyZH13_03G033700	SoyZH13_03G033700.m1	GmWNK1
SoyZH13_06G233801	SoyZH13_06G233801.m1	RPG1-B
SoyZH13_10G213300	SoyZH13_10G213300.m1	GmBCH1
SoyZH13_01G149300	SoyZH13_01G149300.m1	Rj4
SoyZH13_01G162600	SoyZH13_01G162600.m1	GmNFR5
SoyZH13_02G203101	SoyZH13_02G203101.m1	RJ2
SoyZH13_02G248800	SoyZH13_02G248800.m1	GmNFR1
SoyZH13_09G145201	SoyZH13_09G145201.m1	RJ2
SoyZH13_11G061800	SoyZH13_11G061800.m1	GmNFR5
SoyZH13_16G188500	SoyZH13_16G188500.m1	Rj2
SoyZH13_18G238000	SoyZH13_18G238000.m1	GmMaT4
SoyZH13_10G035500	SoyZH13_10G035500.m1	GmPT5
SoyZH13_19G152000	SoyZH13_19G152000.m1	PHR1
SoyZH13_01G161500	SoyZH13_01G161500.m1	GmBEHL1
SoyZH13_04G049800	SoyZH13_04G049800.m1	GmMAX1a
SoyZH13_04G079000	SoyZH13_04G079000.m1	GmMAX4a
SoyZH13_16G159400	SoyZH13_16G159400.m1	GmBCH2
SoyZH13_09G168400	SoyZH13_09G168400.m1	GmFWL1
SoyZH13_16G039600	SoyZH13_16G039600.m1	GS52
SoyZH13_01G055600	SoyZH13_01G055600.m1	UPS1
SoyZH13_02G109100	SoyZH13_02G109100.m1	UPS1
SoyZH13_15G059300	SoyZH13_15G059300.m1	SAT1
SoyZH13_18G075900	SoyZH13_18G075900.m1	SAT1
SoyZH13_10G114600	SoyZH13_10G114600.m1	GmEXPB2
SoyZH13_07G208100	SoyZH13_07G208100.m1	VAMP721a
SoyZH13_09G019400	SoyZH13_09G019400.m1	VAMP721d
SoyZH13_16G017400	SoyZH13_16G017400.m1	SHAT1-5
SoyZH13_18G021300	SoyZH13_18G021300.m1	PDH1
SoyZH13_02G247500	SoyZH13_02G247500.m1	Hs1-1
SoyZH13_02G247600	SoyZH13_02G247600.m1	Hs1-1
SoyZH13_10G204600	SoyZH13_10G204600.m1	E2
SoyZH13_13G057501	SoyZH13_13G057501.m1	W1
SoyZH13_01G182000	SoyZH13_01G182000.m1	G
SoyZH13_06G190800	SoyZH13_06G190800.m1	SF3'H1
SoyZH13_09G212700	SoyZH13_09G212700.m1	R
SoyZH13_13G219800	SoyZH13_13G219800.m1	B1
SoyZH13_01G008900	SoyZH13_01G008900.m1	GmGBP1
SoyZH13_02G148000	SoyZH13_02G148000.m1	FLD
SoyZH13_14G054200	SoyZH13_14G054200.m1	GmELF4A
SoyZH13_14G087600	SoyZH13_14G087600.m1	GmELF3B
SoyZH13_04G137300	SoyZH13_04G137300.m1	tof4a
SoyZH13_05G017900	SoyZH13_05G017900.m1	tof5
SoyZH13_04G126200	SoyZH13_04G126200.m1	tof4b
SoyZH13_12G055500	SoyZH13_12G055500.m1	GmLUXB
SoyZH13_06G194000	SoyZH13_06G194000.m1	AP1A
SoyZH13_01G060300	SoyZH13_01G060300.m1	AP1c
SoyZH13_02G112700	SoyZH13_02G112700.m1	AP1d
SoyZH13_08G103000	SoyZH13_08G103000.m1	CHS5
SoyZH13_08G104702	SoyZH13_08G104702.m1	GmACHS1
SoyZH13_03G237600	SoyZH13_03G237600.m1	MYB185
SoyZH13_16G125200	SoyZH13_16G125200.m1	pdh1
SoyZH13_04G140200	SoyZH13_04G140200.m1	GmFULb
SoyZH13_17G078500	SoyZH13_17G078500.m1	GmFULd
SoyZH13_08G080100	SoyZH13_08G080100.m1	KASI
SoyZH13_18G232200	SoyZH13_18G232200.m1	GmCGS1
SoyZH13_09G213000	SoyZH13_09G213000.m1	CYS
SoyZH13_02G281400	SoyZH13_02G281400.m1	GmHY2a
SoyZH13_20G075300	SoyZH13_20G075300.m1	cqProt-003
SoyZH13_08G044300	SoyZH13_08G044300.m1	FKF1b
SoyZH13_08G102801	SoyZH13_08G102801.m1	ST1
SoyZH13_19G106100	SoyZH13_19G106100.m1	L1
SoyZH13_19G182900	SoyZH13_19G182900.m1	GmSSS1
SoyZH13_09G226802	SoyZH13_09G226802.m1	FA9
SoyZH13_04G033400	SoyZH13_04G033400.m1	GmCYP82C4
SoyZH13_17G105400	SoyZH13_17G105400.m1	GmSW17
SoyZH13_06G180000	SoyZH13_06G180000.m1	GmCDPK17
SoyZH13_06G162100	SoyZH13_06G162100.m1	GmNF-YC04
SoyZH13_09G110900	SoyZH13_09G110900.m1	GmJAZ3
SoyZH13_16G113900	SoyZH13_16G113900.m1	GmCDPK38
SoyZH13_07G048800	SoyZH13_07G048800.m1	NST1A
SoyZH13_13G029600	SoyZH13_13G029600.m1	GmSWEET30
SoyZH13_09G037900	SoyZH13_09G037900.m1	GmRR1
SoyZH13_11G232400	SoyZH13_11G232400.m1	GmSNAP11
SoyZH13_14G178100	SoyZH13_14G178100.m1	GmFad3a
SoyZH13_02G207800	SoyZH13_02G207800.m1	GmFad3b
SoyZH13_18G266103	SoyZH13_18G266103.m1	FT1a
SoyZH13_20G098800	SoyZH13_20G098800.m1	FAD2-1B
SoyZH13_02G222500	SoyZH13_02G222500.m1	PUB21
SoyZH13_04G015700	SoyZH13_04G015700.m1	GmSAUL1a
SoyZH13_06G015300	SoyZH13_06G015300.m1	GmSAUL1b
SoyZH13_03G154700	SoyZH13_03G154700.m1	GmCHX1
